time: 2.998739719390869, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 239, Controller Size: 134
time: 3.1149096488952637, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 245, Controller Size: 140
time: 3.11492657661438, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 245, Controller Size: 140
time: 3.117480754852295, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 245, Controller Size: 140
time: 3.3191957473754883, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 252, Controller Size: 146
time: 3.319244623184204, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 252, Controller Size: 146
time: 3.3215396404266357, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 252, Controller Size: 146
time: 3.4382195472717285, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 259, Controller Size: 152
time: 3.4382357597351074, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 259, Controller Size: 152
time: 3.440795660018921, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 259, Controller Size: 152
time: 3.5972487926483154, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 270, Controller Size: 159
time: 3.5972647666931152, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 270, Controller Size: 159
time: 3.599914789199829, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 270, Controller Size: 159
time: 3.8696227073669434, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 279, Controller Size: 166
time: 3.869675636291504, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 279, Controller Size: 166
time: 3.8724095821380615, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 279, Controller Size: 166
time: 4.035560607910156, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 288, Controller Size: 173
time: 4.0355775356292725, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 288, Controller Size: 173
time: 4.038480520248413, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 288, Controller Size: 173
